line_name,operator_name,day_of_week,hour,avg_arrival_delay,avg_departure_delay,num_trips
EXT,Schweizerische Bundesbahnen SBB,Monday,9.0,1.5666666666666667,3.808333333333333,2
EXT,Schweizerische Bundesbahnen SBB,Monday,10.0,1.3,2.591666666666667,2
EXT,Schweizerische Bundesbahnen SBB,Monday,11.0,1.0875,1.2583333333333333,4
EXT,Schweizerische Bundesbahnen SBB,Saturday,1.0,2.4,3.2,2
EXT,Schweizerische Bundesbahnen SBB,Saturday,2.0,0.6,0.6,1
EXT,Schweizerische Bundesbahnen SBB,Saturday,3.0,0.6,1.0999999999999999,7
EXT,Schweizerische Bundesbahnen SBB,Saturday,8.0,1.5916666666666666,0.725,2
EXT,Schweizerische Bundesbahnen SBB,Saturday,9.0,2.05,0.15,2
EXT,Schweizerische Bundesbahnen SBB,Saturday,10.0,-0.03888888888888888,0.6055555555555556,3
EXT,Schweizerische Bundesbahnen SBB,Saturday,11.0,1.9666666666666666,1.6,1
EXT,Schweizerische Bundesbahnen SBB,Saturday,12.0,2.5166666666666666,,1
EXT,Schweizerische Bundesbahnen SBB,Saturday,13.0,-14.6,0.36666666666666664,1
EXT,Schweizerische Bundesbahnen SBB,Saturday,16.0,-0.7333333333333333,,1
EXT,Schweizerische Bundesbahnen SBB,Sunday,1.0,0.3416666666666667,1.3,2
EXT,Schweizerische Bundesbahnen SBB,Sunday,2.0,1.5933333333333333,1.5483333333333333,10
EXT,Schweizerische Bundesbahnen SBB,Sunday,3.0,0.6145833333333334,0.8358974358974359,16
EXT,Schweizerische Bundesbahnen SBB,Sunday,6.0,0.9333333333333333,,1
EXT,Schweizerische Bundesbahnen SBB,Sunday,7.0,0.8166666666666667,,2
EXT,Schweizerische Bundesbahnen SBB,Sunday,8.0,0.5666666666666667,,2
EXT,Schweizerische Bundesbahnen SBB,Sunday,9.0,3.527777777777778,0.8333333333333334,3
EXT,Schweizerische Bundesbahnen SBB,Sunday,10.0,-0.375,0.8833333333333333,4
EXT,Schweizerische Bundesbahnen SBB,Sunday,11.0,-0.41041666666666665,1.0999999999999999,8
EXT,Schweizerische Bundesbahnen SBB,Sunday,12.0,-0.30238095238095236,0.8083333333333333,7
EXT,Schweizerische Bundesbahnen SBB,Sunday,13.0,-0.46666666666666673,,2
EXT,Schweizerische Bundesbahnen SBB,Sunday,19.0,1.6166666666666667,,1
EXT,Schweizerische Bundesbahnen SBB,Thursday,1.0,5.216666666666667,5.883333333333334,2
EXT,Schweizerische Bundesbahnen SBB,Tuesday,1.0,-0.1,0.7166666666666667,2
EXT,Schweizerische Bundesbahnen SBB,Tuesday,12.0,3.466666666666667,,1
EXT,Schweizerische Bundesbahnen SBB,Tuesday,13.0,1.8291666666666666,,4
EXT,Schweizerische Bundesbahnen SBB,Tuesday,14.0,19.725,,2
EXT,Schweizerische Bundesbahnen SBB,Tuesday,15.0,1.4388888888888889,0.7,4
EXT,Schweizerische Bundesbahnen SBB,Tuesday,16.0,-1.2666666666666666,,2
EXT,Schweizerische Bundesbahnen SBB,Tuesday,17.0,0.5666666666666667,,1
EXT,Schweizerische Bundesbahnen SBB,Wednesday,1.0,-0.058333333333333334,1.1,2
EXT,Schweizerische Bundesbahnen SBB,Wednesday,8.0,-0.6333333333333333,,1
EXT,Schweizerische Bundesbahnen SBB,Wednesday,9.0,1.7833333333333334,,1
EXT,Transports publics fribourgeois,Friday,0.0,-0.31666666666666665,1.1,1
EXT,Transports publics fribourgeois,Friday,1.0,0.38518518518518513,0.5395833333333333,9
EXT,Transports publics fribourgeois,Saturday,2.0,1.3666666666666667,1.1166666666666667,1
EXT,Transports publics fribourgeois,Saturday,3.0,0.3074074074074074,0.3729166666666667,9
EXT,Transports publics fribourgeois,Sunday,2.0,0.23333333333333334,0.35,1
EXT,Transports publics fribourgeois,Sunday,3.0,0.20555555555555555,0.28541666666666665,9
EXT,Zentralbahn,Sunday,13.0,0.6125,1.0666666666666667,4
IC,Schweizerische Bundesbahnen SBB,Friday,0.0,0.9,,1
IC,Schweizerische Bundesbahnen SBB,Friday,6.0,1.0666666666666667,,1
IC,Schweizerische Bundesbahnen SBB,Friday,7.0,1.2249999999999999,1.6416666666666666,4
IC,Schweizerische Bundesbahnen SBB,Friday,8.0,2.7944444444444443,1.2583333333333333,6
IC,Schweizerische Bundesbahnen SBB,Friday,9.0,1.4111111111111112,0.9166666666666666,3
IC,Schweizerische Bundesbahnen SBB,Friday,10.0,1.6611111111111112,2.3833333333333333,4
IC,Schweizerische Bundesbahnen SBB,Friday,11.0,1.5722222222222222,0.7416666666666667,3
IC,Schweizerische Bundesbahnen SBB,Friday,12.0,4.655555555555556,6.408333333333333,4
IC,Schweizerische Bundesbahnen SBB,Friday,13.0,2.5033333333333334,1.2055555555555555,5
IC,Schweizerische Bundesbahnen SBB,Friday,14.0,0.07499999999999997,0.6166666666666667,6
IC,Schweizerische Bundesbahnen SBB,Friday,15.0,0.2833333333333333,0.95,3
IC,Schweizerische Bundesbahnen SBB,Friday,16.0,1.1791666666666667,1.5444444444444443,4
IC,Schweizerische Bundesbahnen SBB,Friday,17.0,0.44333333333333336,1.0944444444444443,5
IC,Schweizerische Bundesbahnen SBB,Friday,18.0,0.45,1.2166666666666668,4
IC,Schweizerische Bundesbahnen SBB,Friday,19.0,0.7722222222222223,0.2,3
IC,Schweizerische Bundesbahnen SBB,Friday,20.0,0.6111111111111112,0.45,3
IC,Schweizerische Bundesbahnen SBB,Friday,21.0,1.4833333333333334,1.475,3
IC,Schweizerische Bundesbahnen SBB,Friday,22.0,7.05,11.966666666666667,2
IC,Schweizerische Bundesbahnen SBB,Friday,23.0,3.8666666666666667,1.0666666666666667,3
IC,Schweizerische Bundesbahnen SBB,Monday,0.0,2.4,,2
IC,Schweizerische Bundesbahnen SBB,Monday,6.0,0.7333333333333333,,1
IC,Schweizerische Bundesbahnen SBB,Monday,7.0,0.7416666666666667,2.908333333333333,4
IC,Schweizerische Bundesbahnen SBB,Monday,8.0,1.8305555555555557,3.222222222222222,6
IC,Schweizerische Bundesbahnen SBB,Monday,9.0,1.1888888888888889,2.175,3
IC,Schweizerische Bundesbahnen SBB,Monday,10.0,1.1777777777777778,0.7666666666666666,3
IC,Schweizerische Bundesbahnen SBB,Monday,11.0,0.4777777777777778,0.7583333333333333,3
IC,Schweizerische Bundesbahnen SBB,Monday,12.0,1.6166666666666665,2.5,3
IC,Schweizerische Bundesbahnen SBB,Monday,13.0,1.4333333333333333,1.4083333333333332,3
IC,Schweizerische Bundesbahnen SBB,Monday,14.0,6.783333333333332,-0.03333333333333333,3
IC,Schweizerische Bundesbahnen SBB,Monday,15.0,0.7333333333333334,1.6333333333333333,3
IC,Schweizerische Bundesbahnen SBB,Monday,16.0,0.25416666666666665,1.3444444444444443,5
IC,Schweizerische Bundesbahnen SBB,Monday,17.0,0.4133333333333333,1.5277777777777777,5
IC,Schweizerische Bundesbahnen SBB,Monday,18.0,1.1208333333333333,1.25,4
IC,Schweizerische Bundesbahnen SBB,Monday,19.0,3.504166666666667,2.8000000000000003,4
IC,Schweizerische Bundesbahnen SBB,Monday,20.0,0.3666666666666667,1.0833333333333335,3
IC,Schweizerische Bundesbahnen SBB,Monday,21.0,2.4944444444444445,3.1416666666666666,3
IC,Schweizerische Bundesbahnen SBB,Monday,22.0,4.172222222222222,3.341666666666667,3
IC,Schweizerische Bundesbahnen SBB,Monday,23.0,2.5666666666666664,1.0333333333333334,2
IC,Schweizerische Bundesbahnen SBB,Saturday,0.0,-1.05,,1
IC,Schweizerische Bundesbahnen SBB,Saturday,1.0,3.7,5.686666666666666,5
IC,Schweizerische Bundesbahnen SBB,Saturday,2.0,6.483333333333333,,1
IC,Schweizerische Bundesbahnen SBB,Saturday,6.0,1.45,,1
IC,Schweizerische Bundesbahnen SBB,Saturday,7.0,0.33888888888888896,0.9153846153846155,14
IC,Schweizerische Bundesbahnen SBB,Saturday,8.0,0.7821428571428571,1.4435897435897436,14
IC,Schweizerische Bundesbahnen SBB,Saturday,9.0,0.5708333333333333,1.156060606060606,13
IC,Schweizerische Bundesbahnen SBB,Saturday,10.0,0.5361111111111111,1.6166666666666667,12
IC,Schweizerische Bundesbahnen SBB,Saturday,11.0,0.7649999999999999,1.24375,11
IC,Schweizerische Bundesbahnen SBB,Saturday,12.0,0.4875,1.0250000000000001,8
IC,Schweizerische Bundesbahnen SBB,Saturday,13.0,0.038888888888888876,1.0395833333333333,10
IC,Schweizerische Bundesbahnen SBB,Saturday,14.0,0.9333333333333332,1.7833333333333334,11
IC,Schweizerische Bundesbahnen SBB,Saturday,15.0,-0.01041666666666663,0.5547619047619048,9
IC,Schweizerische Bundesbahnen SBB,Saturday,16.0,0.8270833333333334,1.736111111111111,8
IC,Schweizerische Bundesbahnen SBB,Saturday,17.0,1.6777777777777778,1.7976190476190474,9
IC,Schweizerische Bundesbahnen SBB,Saturday,18.0,2.3870370370370373,0.9766666666666668,9
IC,Schweizerische Bundesbahnen SBB,Saturday,19.0,0.23750000000000002,0.5277777777777778,4
IC,Schweizerische Bundesbahnen SBB,Saturday,20.0,2.6861111111111113,3.979166666666667,7
IC,Schweizerische Bundesbahnen SBB,Saturday,21.0,4.925,0.8916666666666666,4
IC,Schweizerische Bundesbahnen SBB,Saturday,22.0,3.466666666666667,5.8,2
IC,Schweizerische Bundesbahnen SBB,Saturday,23.0,1.8888888888888886,0.9083333333333333,3
IC,Schweizerische Bundesbahnen SBB,Sunday,0.0,-0.11666666666666667,,1
IC,Schweizerische Bundesbahnen SBB,Sunday,1.0,1.6966666666666668,2.14,5
IC,Schweizerische Bundesbahnen SBB,Sunday,2.0,-0.55,,1
IC,Schweizerische Bundesbahnen SBB,Sunday,6.0,0.15,,1
IC,Schweizerische Bundesbahnen SBB,Sunday,7.0,0.5125000000000001,0.8041666666666667,5
IC,Schweizerische Bundesbahnen SBB,Sunday,8.0,1.7833333333333332,0.9222222222222222,4
IC,Schweizerische Bundesbahnen SBB,Sunday,9.0,0.12499999999999999,0.8333333333333334,7
IC,Schweizerische Bundesbahnen SBB,Sunday,10.0,0.7861111111111111,1.4766666666666666,6
IC,Schweizerische Bundesbahnen SBB,Sunday,11.0,0.1375,0.7805555555555556,9
IC,Schweizerische Bundesbahnen SBB,Sunday,12.0,0.90625,0.85,8
IC,Schweizerische Bundesbahnen SBB,Sunday,13.0,0.2444444444444444,1.0333333333333332,10
IC,Schweizerische Bundesbahnen SBB,Sunday,14.0,2.3787878787878785,1.8357142857142856,11
IC,Schweizerische Bundesbahnen SBB,Sunday,15.0,0.9314814814814815,1.4437499999999999,10
IC,Schweizerische Bundesbahnen SBB,Sunday,16.0,3.696875,5.483333333333333,17
